ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 125622, progress = 45
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 136582, progress = 49
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 136582, progress = 49
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 147254, progress = 53
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 147254, progress = 53
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 152734, progress = 55
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 152734, progress = 55
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 155474, progress = 56
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 155474, progress = 56
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 158214, progress = 57
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 158214, progress = 57
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 162324, progress = 58
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 162324, progress = 58
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 169174, progress = 61
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 169174, progress = 61
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 173284, progress = 62
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 173284, progress = 62
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 177394, progress = 64
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 177394, progress = 64
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 181504, progress = 65
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 181504, progress = 65
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 185614, progress = 67
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 185614, progress = 67
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 192464, progress = 69
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 192464, progress = 69
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 200684, progress = 72
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 200684, progress = 72
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 207246, progress = 75
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 207246, progress = 75
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 214096, progress = 77
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 214096, progress = 77
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 215466, progress = 78
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 215466, progress = 78
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 219576, progress = 79
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 219576, progress = 79
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 225056, progress = 81
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 225056, progress = 81
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 230536, progress = 83
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 230536, progress = 83
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 234646, progress = 84
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 234646, progress = 84
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 238756, progress = 86
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 238756, progress = 86
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 241496, progress = 87
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 241496, progress = 87
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 249716, progress = 90
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 249716, progress = 90
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 252456, progress = 91
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 252456, progress = 91
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 255196, progress = 92
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 255196, progress = 92
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 257936, progress = 93
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 257936, progress = 93
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 260676, progress = 94
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 260676, progress = 94
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 263416, progress = 95
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 263416, progress = 95
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 274088, progress = 99
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 274088, progress = 99
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 276119, progress = 100
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 276119, progress = 100
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 276119, progress = 100
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 276119, progress = 100
